#SELECT * FROM jnep.TileImage
"TILE_ID","FILTER_ID","REF_TILE_ID","name","RA","DEC","hpix5","ZPT","ERRZPT","CALIB_PROCEDURE","NOISE","NOISE_RMS","ADULEVEL","ADULEVEL_RMS","NCOMBINED","TEXPOSED","EFECTIME","EXPTIME","FWHMG","FWHMG_RMS","FWHM_MIN","FWHM_MAX","FWHM_MEAN","MOFFATBETA_MEAN","ELLIPTICITY_MEAN","PIXSCALE","DATASUM","CHECKSUM","SINGLE_CATALOGUE_DATASUM","DUAL_CATALOGUE_DATASUM","DEPTH2FWHM5S","DEPTH3ARC5S","DEPTHARCSEC2","M50S","KS","M50G","KG","APER_COR_6_0","APER_COR_ERR_6_0","OBSERVATION_DATES"
2473,30,2520,"JNEP-v202106_J0660_swp",260.61,65.78,2902,22.6630001,0.0399999991,8,0.0146000003,0.00079999998,0.0,0.00200000009,8,960.0,879.919983,1.0,1.53699994,0.0309999995,1.37310004,1.54663002,1.47328997,2.38070011,0.0251892991,0.227,2482431680,"9AbOC4bM9AbMC3bM",3973414494,3406105247,22.8526001,22.8330917,23.8947582,21.6630135,7.38840437,21.3027802,5.39033556,-0.109543003,0.00678936997,20190628022311 20190616004025 20190616003648 20190616003403 20190616003141 20190628022933 20190628022725 20190628022518
2474,32,2520,"JNEP-v202106_J0680_swp",260.61,65.78,2902,22.8829994,0.0399999991,8,0.0109999999,0.00079999998,-0.00100000005,0.00200000009,12,1440.0,1215.88,1.0,1.08399999,0.0799999982,0.86303401,1.45517004,1.15037,1.83630002,0.0276414994,0.227,1413096061,"U1gaV0dTU0dYU0dY",786525413,3220606075,23.6486263,23.3604927,24.4221573,22.4659405,6.52537441,21.9978218,5.02317381,-0.122985996,0.00525025977,20190723002524 20190723002252 20190723002014 20190723001740 20180709015806 20180709015540 20180709015326 20180709015114 20180705022449 20180705022229 20180705021955 20180705021716
2475,28,2520,"JNEP-v202106_J0640_swp",260.61,65.78,2902,22.5970001,0.0399999991,8,0.00910000037,0.000600000028,0.0,0.00100000005,13,1560.0,1399.23999,1.0,1.32099998,0.143999994,1.05821002,1.90728998,1.59950995,4.0387702,0.0220312998,0.227,248039842,"DTmNEQlNDQlNDQlN",1823188013,3047678415,23.2106323,23.2803707,24.3420353,22.3188095,6.02150297,21.9002151,4.69647789,-0.0948522016,0.00385528989,20180808012342 20180808012130 20180808011903 20180808011654 20180806235425 20180806235147 20180806234935 20180806234718 20180805012019 20180805011811 20180805011601 20180805011354 20180805011136
2482,43,2520,"JNEP-v202106_J0790_swp",260.61,65.78,2902,22.507,0.0399999991,8,0.0120999999,0.00100000005,0.0,0.00200000009,12,1440.0,1412.41003,1.0,0.837000012,0.0359999985,0.775852025,0.894506991,0.834565997,3.24809003,0.0403394997,0.227,3240101383,"FNEHIL9FFLEFFL9F",3443176484,2425007682,23.5175877,22.8810101,23.9426765,22.5858517,7.53021145,22.0535526,3.93886971,-0.061071299,0.0033930901,20180720004312 20180720004102 20180720003627 20180720003419 20180719010537 20180719010319 20180719010111 20180719005809 20180714021635 20180714021429 20180714021120 20180714020839
2483,45,2520,"JNEP-v202106_J0810_swp",260.61,65.78,2902,22.2549992,0.0399999991,8,0.0149999997,0.00100000005,0.0,0.00200000009,8,960.0,958.960022,1.0,0.765999973,0.0120000001,0.749360979,0.792011976,0.767183006,9.97889042,0.0285448004,0.227,892761668,"m6AOm32Om38Om38O",721866858,3661930940,23.1237259,22.3957462,23.4574108,22.3121109,6.82970285,21.7131214,3.47461653,-0.0566014983,0.00357471011,20180919225104 20180919224859 20180919224550 20180919224345 20180919224023 20180919223818 20180919223526 20180919223257
2484,23,2520,"JNEP-v202106_J0590_swp",260.61,65.78,2902,22.5510006,0.0399999991,8,0.0119000003,0.000500000024,0.0,0.00200000009,8,960.0,921.52002,1.0,1.09500003,0.061999999,0.926387012,1.25811994,1.17817998,9.99975967,0.0571007989,0.227,3323590400,"JYPjMVNjJVNjJVNj",2210774393,3772719014,23.2053051,22.9431076,24.0047722,22.4620342,6.4042778,21.910038,4.87510872,-0.0628342032,0.00320462999,20180820003030 20180820002754 20180820002542 20180820002254 20190103051817 20190103051603 20190103051347 20190103051123
2479,41,2520,"JNEP-v202106_J0770_swp",260.61,65.78,2902,22.4459991,0.0399999991,8,0.0157999992,0.00120000006,0.0,0.00200000009,8,960.0,870.659973,1.0,1.69099998,0.123999998,1.23574996,1.66217005,1.51374996,9.99997997,0.0688100979,0.227,4171553879,"1GGf49GZ1GGd19GZ",41194902,606705677,22.5204239,22.5303307,23.5919971,21.82444,6.125875,21.4202461,4.62956667,-0.0454627983,0.00693209004,20180626025137 20180626024930 20180626024722 20180626024509 20180624023423 20180624023143 20180624022923 20180624022659
2480,44,2520,"JNEP-v202106_J0800_swp",260.61,65.78,2902,22.3309994,0.0399999991,8,0.0193000007,0.00109999999,0.00100000005,0.00200000009,8,960.0,951.309998,1.0,0.788999975,0.023,0.757277012,0.801505029,0.778472006,9.99948978,0.0342769995,0.227,728087319,"EaCaHV9WEZAaEZ9U",334738415,1777916591,22.910202,22.1980801,23.2597466,22.0601273,7.56028128,21.578661,3.65856957,-0.0527932011,0.00348931993,20180919221501 20180919221256 20180919220908 20180919220703 20180919222354 20180919222150 20180919221928 20180919221724
2481,42,2520,"JNEP-v202106_J0780_swp",260.61,65.78,2902,22.1919994,0.0399999991,8,0.0242999997,0.00150000001,0.0,0.00300000003,4,480.0,477.089996,1.0,1.31200004,0.0649999976,1.15860999,1.81801999,1.51848996,3.74411988,0.0341535993,0.227,1067518810,"8YZhAWWh2WWh8WWh",4182517434,3137506233,21.7956562,21.8089581,22.8706245,20.9253044,6.98207951,20.4971085,4.83957815,-0.0805993006,0.00829537958,20180808014453 20180808014139 20180808013920 20180808013703
2485,24,2520,"JNEP-v202106_J0600_swp",260.61,65.78,2902,22.5489998,0.0399999991,8,0.0154999997,0.00100000005,0.0,0.00200000009,8,960.0,876.809998,1.0,1.53299999,0.0240000002,1.38138998,1.53147995,1.46661997,2.34250998,0.0238566995,0.227,3097046950,"CdkaCZjXCbjaCZjW",131376652,3366893939,22.6785793,22.6541443,23.7158108,21.5156975,6.50152779,21.1128788,5.38851261,-0.103564002,0.00614775019,20190628022030 20190628021811 20190628021541 20190628021255 20190616002847 20190616002627 20190616002400 20190616002058
