#SELECT * FROM minijpas.CalibTileImage
"TILE_ID","CALIB_PROCEDURE","ZPT","ERRZPT","IS_REFERENCE_METHOD"
2327,4,22.6270008,0.252000004,0
2399,4,22.1380005,0.291999996,0
2255,4,22.6119995,0.0970000029,0
2375,4,22.6369991,0.291000009,0
2279,4,22.5470009,0.326000005,0
2423,4,22.6599998,0.218999997,0
2279,5,22.5690002,0.0399999991,1
2375,5,22.6119995,0.0399999991,1
2255,5,22.6450005,0.0399999991,1
2423,5,22.6669998,0.0399999991,1
2327,5,22.684,0.0399999991,1
2399,5,22.0720005,0.0399999991,1
2351,3,22.2929993,0.103,0
2231,4,22.7259998,0.238999993,0
2303,4,22.0580006,0.221000001,0
2447,4,22.507,0.0970000029,0
2351,5,22.3120003,0.0399999991,1
2231,5,22.7840004,0.0399999991,1
2303,5,22.1049995,0.0399999991,1
2447,5,22.4260006,0.0399999991,1
2352,4,21.9300003,0.379000008,0
2352,5,21.8969994,0.0399999991,1
2304,4,21.6410007,0.199000001,0
2304,5,21.6760006,0.0399999991,1
2280,4,22.7320004,0.0939999968,0
2280,5,22.7789993,0.0399999991,1
2353,4,22.3889999,0.312000006,0
2353,5,22.3990002,0.0399999991,1
2424,4,22.6369991,0.224000007,0
2424,5,22.6720009,0.0399999991,1
2400,4,22.257,0.335000008,0
2400,5,22.2350006,0.0399999991,1
2328,4,22.6749992,0.210999995,0
2328,5,22.7810001,0.0399999991,1
2448,4,22.8129997,0.152999997,0
2448,5,22.7609997,0.0399999991,1
2376,4,22.7549992,0.314999998,0
2376,5,22.7280006,0.0399999991,1
2232,3,22.3670006,0.172999993,0
2232,5,22.3899994,0.0399999991,1
2354,4,22.3059998,0.153999999,0
2354,5,22.3449993,0.0399999991,1
2305,4,22.1119995,0.184,0
2305,5,22.1609993,0.0399999991,1
2329,4,22.7910004,0.173999995,0
2329,5,22.8040009,0.0399999991,1
2256,4,22.7520008,0.075000003,0
2256,5,22.7830009,0.0399999991,1
2401,4,22.1669998,0.145999998,0
2401,5,22.1469994,0.0399999991,1
2425,4,22.7080002,0.167999998,0
2425,5,22.6819992,0.0399999991,1
2377,4,22.7779999,0.207000002,0
2377,5,22.7999992,0.0399999991,1
2355,4,22.5529995,0.277999997,0
2355,5,22.6110001,0.0399999991,1
2233,4,22.6009998,0.246000007,0
2233,5,22.6889992,0.0399999991,1
2281,4,22.8560009,0.0930000022,0
2281,5,22.8780003,0.0399999991,1
2306,4,21.9820004,0.137999997,0
2306,5,21.9850006,0.0399999991,1
2402,4,23.3439999,0.319999993,0
2402,5,23.2660007,0.0399999991,1
2330,4,22.75,0.182999998,0
2330,5,22.7479992,0.0399999991,1
2356,4,22.6800003,0.409000009,0
2356,5,22.7600002,0.0399999991,1
2234,4,21.9510002,0.328999996,0
2234,5,22.0289993,0.0399999991,1
2449,4,22.3990002,0.182999998,0
2449,5,22.3439999,0.0399999991,1
2378,4,22.4169998,0.159999996,0
2378,5,22.4200001,0.0399999991,1
2426,4,22.4750004,0.192000002,0
2426,5,22.4710007,0.0399999991,1
2307,4,23.0450001,0.294,0
2307,5,23.1580009,0.0399999991,1
2357,4,22.4160004,0.210999995,0
2357,5,22.4139996,0.0399999991,1
2257,4,22.4540005,0.179000005,0
2257,5,22.4500008,0.0399999991,1
2235,4,22.5639992,0.31400001,0
2235,5,22.6019993,0.0399999991,1
2427,4,22.4689999,0.196999997,0
2427,5,22.4379997,0.0399999991,1
2358,4,22.9060001,0.254999995,0
2358,5,22.8889999,0.0399999991,1
2450,4,22.5380001,0.172000006,0
2450,5,22.4860001,0.0399999991,1
2403,4,23.4740009,0.321999997,0
2403,5,23.1970005,0.0399999991,1
2404,4,25.4360008,0.298000008,0
2404,5,25.4139996,0.0399999991,1
2308,4,22.6609993,0.208000004,0
2308,5,22.6809998,0.0399999991,1
2428,4,22.5380001,0.187000006,0
2428,5,22.5310001,0.0399999991,1
2331,4,22.7140007,0.170000002,0
2331,5,22.7150002,0.0399999991,1
2236,4,22.8150005,0.261999995,0
2236,5,22.8379993,0.0399999991,1
2258,4,22.3010006,0.273999989,0
2258,5,22.3010006,0.0399999991,1
2379,4,22.9230003,0.27700001,0
2379,5,22.8799992,0.0399999991,1
2359,4,22.8600006,0.303000003,0
2359,5,22.8309994,0.0399999991,1
2360,4,22.5049992,0.294,0
2360,5,22.4379997,0.0399999991,1
2361,4,22.7779999,0.238000005,0
2361,5,22.7649994,0.0399999991,1
2362,4,22.691,0.264999986,0
2362,5,22.6270008,0.0399999991,1
2363,4,22.4489994,0.268000007,0
2363,5,22.3880005,0.0399999991,1
2364,4,22.8579998,0.367000014,0
2364,5,22.8250008,0.0399999991,1
2365,4,22.4130001,0.275999993,0
