#SELECT * FROM minijpas.Filter
"FILTER_ID","name","wavelength","width","kx","color_representation"
1,"uJAVA",3497,509,4.91599989,"#CC00FF"
2,"J0378",3782,157,4.56699991,"#9900FF"
3,"J0390",3904,150,4.44199991,"#6F008C"
4,"J0400",3996,148,4.34100008,"#6900B0"
5,"J0410",4110,144,4.24100018,"#4300DE"
6,"J0420",4203,147,4.14300013,"#0000FF"
7,"J0430",4303,148,4.04799986,"#0069FF"
8,"J0440",4403,152,3.95300007,"#00B8FF"
9,"J0450",4503,150,3.86100006,"#00FFFF"
10,"J0460",4603,148,3.77099991,"#00FFB8"
11,"J0470",4701,148,3.68199992,"#00FF69"
12,"J0480",4799,142,3.59599996,"#00FF10"
13,"J0490",4902,154,3.51099992,"#2BFF00"
14,"J0500",5002,152,3.42799997,"#4CFF00"
15,"J0510",5097,148,3.34699988,"#67FF00"
16,"J0520",5202,150,3.26799989,"#85FF00"
17,"J0530",5296,150,3.19000006,"#9CFF00"
18,"J0540",5389,152,3.11500001,"#B3FF00"
19,"J0550",5498,149,3.04099989,"#CEFF00"
20,"J0560",5596,150,2.9690001,"#E5FF00"
21,"J0570",5701,150,2.9000001,"#FFFF00"
22,"J0580",5803,148,2.83200002,"#FFE300"
23,"J0590",5917,152,2.7650001,"#FFC400"
24,"J0600",6010,150,2.70099998,"#FFA600"
25,"J0610",6107,150,2.63899994,"#FF8A00"
26,"J0620",6206,148,2.57800007,"#FF6900"
27,"J0630",6309,150,2.51900005,"#FF4600"
28,"J0640",6408,150,2.46199989,"#FF1D00"
29,"J0650",6506,146,2.40700006,"#FC0000"
30,"J0660",6607,151,2.35400009,"#F70000"
31,"J0670",6710,146,2.30200005,"#F10000"
32,"J0680",6812,152,2.25099993,"#EC0000"
33,"J0690",6912,148,2.20300007,"#E70000"
34,"J0700",7007,148,2.15499997,"#E30000"
35,"J0710",7119,148,2.10899997,"#DD0000"
36,"J0720",7207,146,2.06399989,"#D80000"
37,"J0730",7307,150,2.01999998,"#D30000"
38,"J0740",7414,148,1.977,"#CD0000"
39,"J0750",7502,142,1.93499994,"#C90000"
40,"J0760",7602,144,1.89400005,"#C30000"
41,"J0770",7719,146,1.85399997,"#BE0000"
42,"J0780",7811,145,1.81500006,"#B80000"
43,"J0790",7907,142,1.77600002,"#B30000"
44,"J0800",8009,140,1.73899996,"#AE0000"
45,"J0810",8124,144,1.70200002,"#A70053"
46,"J0820",8226,143,1.66600001,"#A2004B"
47,"J0830",8329,148,1.63,"#9C0043"
48,"J0840",8429,148,1.59500003,"#97003B"
49,"J0850",8523,146,1.56099999,"#910034"
50,"J0860",8620,148,1.528,"#8B002D"
51,"J0870",8716,146,1.495,"#860026"
52,"J0880",8810,146,1.46200001,"#800020"
53,"J0890",8912,150,1.43099999,"#7A0019"
54,"J0900",9000,154,1.39999998,"#750014"
55,"J0910",9107,152,1.37,"#6F000E"
56,"J1007",9316,635,1.11899996,"#610001"
57,"uJPAS",3623,736,4.88399982,"#B400FF"
58,"gSDSS",4750,1250,3.62899995,"#006600"
59,"rSDSS",6250,1250,2.52699995,"#FF0000"
60,"iSDSS",7725,1250,1.82500005,"#990033"
