#SELECT * FROM minijpas.TileImage
"TILE_ID","FILTER_ID","REF_TILE_ID","name","RA","DEC","hpix5","ZPT","ERRZPT","CALIB_PROCEDURE","NOISE","NOISE_RMS","ADULEVEL","ADULEVEL_RMS","NCOMBINED","TEXPOSED","EFECTIME","EXPTIME","FWHMG","FWHMG_RMS","FWHM_MIN","FWHM_MAX","FWHM_MEAN","MOFFATBETA_MEAN","ELLIPTICITY_MEAN","PIXSCALE","DATASUM","CHECKSUM","SINGLE_CATALOGUE_DATASUM","DUAL_CATALOGUE_DATASUM","DEPTH2FWHM5S","DEPTH3ARC5S","DEPTHARCSEC2","M50S","KS","M50G","KG","APER_COR_6_0","OBSERVATION_DATES"
2327,14,2243,"AEGIS002-v201912_J0500_swp",214.828485277,52.8487225,2856,22.684,0.0399999991,5,0.0104,0.000600000028,0.00100000005,0.00100000005,4,480.0,478.420013,1.0,1.17400002,0.064000003,1.02690995,1.89745998,1.04247999,2.37849998,0.0242976993,0.2267,1512591030,"G2kAI1h8G1hAG1h5",2050202242,2746053164,23.6160145,23.2209549,24.2826214,22.4867611,6.41953373,21.7328072,3.90733171,-0.0644965991,20180803224739 20180803224522 20180803225158 20180803224951
2375,25,2406,"AEGIS003-v201912_J0610_swp",215.387923,53.1831655,2856,22.6119995,0.0399999991,5,0.0129000004,0.00079999998,0.00100000005,0.00200000009,4,480.0,478.589996,1.0,1.11300004,0.0599999987,0.985803008,1.70676005,1.00163996,2.67675996,0.0145137003,0.2267,546792322,"mA6CmA6CmA6CmA6C",3045290987,883418782,23.3535137,22.9150639,23.9767303,22.2563095,5.8535862,21.6085281,3.73606229,-0.065940097,20180708233226 20180708233007 20180708233647 20180708233438
2255,39,2243,"AEGIS002-v201912_J0750_swp",214.828485277,52.8487225,2856,22.6450005,0.0399999991,5,0.0154999997,0.00109999999,0.0,0.00200000009,4,480.0,476.230011,1.0,1.11899996,0.0949999988,0.954384029,1.78831005,0.99000299,2.96737003,0.00701127993,0.2267,3017325631,"0H4U1G1T0G1T0G1T",3935882966,377924951,23.1998463,22.7487087,23.8103752,22.1389923,5.69457626,21.5897961,4.20953989,-0.0715347975,20180706235936 20180706235729 20180707000354 20180707000143
2399,53,2406,"AEGIS003-v201912_J0890_swp",215.387923,53.1831655,2856,22.0720005,0.0399999991,5,0.0216000006,0.00139999995,0.0,0.00300000003,12,1440.0,1364.56995,1.0,1.62199998,0.0359999985,1.35851002,1.53492999,1.45220006,2.48485994,0.033053901,0.2267,323593045,"LpPNOoMNLoMNLoMN",1940002951,2070540647,21.8505669,21.815403,22.8770695,20.7163467,7.05434465,20.1362514,4.39515352,-0.0918191969,20181003193747 20181003194532 20181003195228 20180927202835 20181003193542 20181003194325 20181003195023 20180927202625 20180927203254 20181003194120 20181003194737 20180927203044
2400,48,2406,"AEGIS003-v201912_J0840_swp",215.387923,53.1831655,2856,22.2350006,0.0399999991,5,0.0304000005,0.00170000002,0.00200000009,0.00400000019,8,960.0,949.549988,1.0,1.18200004,0.0520000011,1.04437995,1.36094999,1.18402004,4.84798002,0.0415659994,0.2267,2036838916,"UOTqVORoUORoUORo",793729934,3811139962,21.8641853,21.6073551,22.6690197,21.0734272,7.0055747,20.3736992,3.92889071,-0.0565184988,20180924204054 20180924204729 20180924203837 20180924204524 20180924205148 20180924203631 20180924204300 20180924204942
2328,13,2243,"AEGIS002-v201912_J0490_swp",214.828485277,52.8487225,2856,22.7810001,0.0399999991,5,0.0186000001,0.00100000005,0.00100000005,0.00200000009,4,480.0,478.940002,1.0,0.953999996,0.0130000003,0.882255018,0.966928005,0.894707978,3.25639009,0.0282310005,0.2267,1517984765,"nI3TnI2TnI2TnI2T",3097367379,2492064549,23.2477798,22.6867561,23.7484207,22.3424301,6.4957881,21.4625397,4.09309578,-0.0474069007,20180622004421 20180622005045 20180622004837 20180622004628
2376,26,2406,"AEGIS003-v201912_J0620_swp",215.387923,53.1831655,2856,22.7280006,0.0399999991,5,0.0249000005,0.00179999997,0.00100000005,0.00300000003,8,960.0,928.22998,1.0,1.01999998,0.0390000008,0.912177026,1.31173003,0.916801989,2.10563993,0.0240730997,0.2267,1122816324,"9alaDTiR9ZiXAZiX",2504278063,2926904795,22.8515797,22.3170395,23.378706,21.700531,6.62882614,20.9644547,3.89412785,-0.0742295012,20180724230944 20180724231630 20180726223924 20180724231415 20180726223654 20180724231201 20180726223239 20180726224256
2329,27,2241,"AEGIS001-v201912_J0630_swp",214.282520625,52.5143375,2856,22.8040009,0.0399999991,5,0.0177999996,0.00109999999,0.0,0.00200000009,4,480.0,477.459991,1.0,1.528,0.0149999997,1.39810002,1.49436998,1.41495001,2.41487002,0.0195968002,0.2267,1510155754,"CRFFFP9DCPCDCP9D",441916137,4059130356,22.8208637,22.7574883,23.8191528,21.6787701,5.62357807,21.1847744,4.16526794,-0.0902817994,20180618224427 20180618224211 20180618223955 20180618224707
2256,38,2243,"AEGIS002-v201912_J0740_swp",214.828485277,52.8487225,2856,22.7830009,0.0399999991,5,0.0153000001,0.000899999985,0.00100000005,0.00200000009,8,960.0,811.679993,1.0,1.33500004,0.0439999998,1.20091999,1.51399004,1.28114998,6.37141991,0.0397134013,0.2267,640577332,"0aQ50TQ20YQ20YQ2",818595621,1556166476,23.0720387,22.9008102,23.9624748,22.2172546,6.36555767,21.6737881,4.54923296,-0.0703006014,20190714221707 20180610230944 20180610231640 20190714221439 20180610231426 20190714221220 20180610231201 20190714221000
2401,52,2406,"AEGIS003-v201912_J0880_swp",215.387923,53.1831655,2856,22.1469994,0.0399999991,5,0.0249000005,0.00150000001,0.0,0.00300000003,12,1440.0,1408.97998,1.0,1.78400004,0.194999993,1.40654004,2.34857011,1.68725002,3.35088992,0.0213826001,0.2267,2048842712,"HTgaKSeRHSeXHSeX",1771178025,2139534332,21.6083202,21.7360401,22.7977047,20.527956,5.52027321,19.9521275,4.49133587,-0.0802365988,20180927203722 20181002201857 20181002202548 20181002203233 20180927203515 20180927204140 20181002202343 20181002203013 20180927203928 20181002202101 20181002202808 20181002203438
